Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.878538333,-1.023456867,1.675840657,0.019060169,1.963738566
0.888559333,-0.417463241,2.804457651,0.013238681,2.835389486
0.898581333,0.684064444,3.928607664,0.094685133,3.988842892
0.908602333,0.879062215,4.988071393,0.115804106,5.066262645
0.918624333,0.537969349,5.99024381,0.100401955,6.015190144
0.928645333,-0.10232938,6.897830497,0.122110913,6.899670133
0.938667333,-0.627208384,7.782297294,0.156375597,7.809096929
0.948688333,-0.264426715,8.520023535,0.035251109,8.5241988
0.958710333,0.330724803,9.121653494,0.169228946,9.129215728
0.968731333,0.55209052,9.678949864,0.068340502,9.694923663
0.978753333,0.154627754,10.08297258,0.180310589,10.08577006
0.988774333,-0.490083795,10.45156235,0.123578564,10.46377605
0.998796333,-0.170772392,10.49963348,0.086892548,10.50138166
1.008817333,0.656239445,10.3017789,0.177301027,10.32418202
1.018839333,0.435590705,10.18087252,0.114150513,10.19082601
1.028860333,-0.132094613,9.945847192,0.104876245,9.947277234
1.038882333,-0.384178112,9.617006215,0.049939899,9.624806251
1.048903333,-0.069066905,9.041265973,0.11851429,9.042306469
1.058925333,0.200138954,8.466829076,0.099372261,8.469777154
1.068946333,0.260764604,7.777002055,0.128871464,7.782439656
1.078968333,0.120505633,6.944829247,0.188893717,6.948442683
1.088989333,-0.038284069,6.075323721,0.082018309,6.075997942
1.099011333,-0.053612339,5.027310888,0.107281789,5.028741237
1.109032333,0.124219601,4.005340383,0.144229175,4.009860864
1.119054333,0.137947795,2.899367609,0.004250341,2.902650546
1.129075333,0.180099632,1.769810968,-0.041567856,1.779436603
1.139097333,0.264599993,0.629580746,-0.056988718,0.685297589
1.149118333,0.086443811,-0.620596572,-0.029426113,0.627278673
1.159140333,-0.092726443,-1.702554539,-0.001559452,1.705078469
1.169161333,-0.323567921,-2.792222352,0.094399788,2.812492344
1.179183333,-0.333874187,-3.878884404,0.046497644,3.89350462
1.189204333,-0.065581923,-4.911518476,0.047077103,4.912181896
1.199226333,0.030282177,-5.875723168,0.000365451,5.875801212
1.209247333,0.077587052,-6.742215039,-0.136458226,6.744042128
1.219269333,0.137021706,-7.621736845,-0.057435445,7.623184788
1.229290333,0.083672761,-8.372045125,-0.079741403,8.37284297
1.239312333,0.046298039,-9.014838313,-0.045024145,9.015069633
1.249333333,-0.127827151,-9.591280221,-0.066571135,9.592362992
1.259355333,-0.428052475,-9.784021406,-0.096955022,9.793860529
1.269377333,-0.336074494,-10.10045108,-0.072718313,10.1063023
1.279398333,-0.107384527,-10.22872379,-0.062690338,10.22947955
1.289420333,0.057106558,-9.997667556,-0.029902076,9.997875367
1.299441333,0.022156347,-9.722935544,-0.046973022,9.723074254
1.309463333,-0.102244742,-9.425657837,-0.039788548,9.426296345
1.319484333,-0.227868771,-9.086514067,-0.09113061,9.089827658
1.329506333,-0.098540056,-8.600247334,-0.058652835,8.60101183
1.339527333,-0.036405185,-8.046985543,-0.128999518,8.048101798
1.349549333,-0.091819193,-7.40235633,-0.013567879,7.402938207
1.359570333,-0.219445894,-6.616247302,-0.076866328,6.620331812
1.369592333,-0.183878377,-5.771631619,-0.038988649,5.774691587
1.379613333,0.013188258,-4.759832054,0.083468419,4.760582117
1.389635333,0.303681869,-3.867958297,0.001899176,3.879861811
1.399656333,0.378796883,-2.756462243,0.051868311,2.782851325
1.409678333,0.188222493,-1.601947931,0.079850162,1.614943011
1.419699333,-0.269458646,-0.450756007,-0.034076988,0.526260564
1.429721333,-0.496855602,0.604671059,-0.001289896,0.782620114
1.439742333,-0.495651697,1.681221265,-0.034055353,1.753093071
1.449764333,0.025078342,2.638111382,0.012203139,2.638258802
1.459785333,0.423629568,3.701826329,0.048161176,3.726298388
1.469807333,0.490232168,4.708093551,0.135160729,4.735476838
1.479828333,0.378108154,5.632021744,0.165700736,5.647131257
1.489850333,-0.171297764,6.456610714,0.141761066,6.460438145
1.499871333,-0.248548637,7.345027304,0.188160476,7.351639742
